Used 2022 Hyundai, Tucson SEL AWD, $21,999, Excellent Price, 20,503 miles, 
Used 2022 Hyundai, Santa Cruz Limited AWD, $26,750, Excellent Price, 26,242 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $20,857, Great Price, 27,593 miles, 
Used 2022 Hyundai, Palisade SEL AWD, $28,995, Excellent Price, 30,204 miles, 
Used 2022 Hyundai, Sonata SEL, $18,362, Excellent Price, 36,560 miles, 
Used 2022 Hyundai, Kona SEL AWD Automatic, $18,804, Excellent Price, 28,337 miles, 
Used 2022 Hyundai, Sonata SEL, $17,516, Excellent Price, 50,430 miles, 
Used 2022 Hyundai, Elantra SEL IVT, $16,999, Excellent Price, 37,724 miles, 
Used 2022 Hyundai, Santa Fe Plug-In Hybrid SEL Convenience AWD, $26,998, Great Price, 41,629 miles, 
Used 2022 Hyundai, Santa Fe Plug-In Hybrid SEL Convenience AWD, $22,250, Excellent Price, 74,659 miles, 
Used 2022 Hyundai, Sonata SEL Plus, $23,998, Great Price, 31,605 miles, 
Used 2022 Hyundai, Santa Cruz SEL AWD, $19,999, Excellent Price, 87,309 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $23,885, Great Price, 21,499 miles, 
Used 2022 Hyundai, Elantra SEL IVT (SULEV), $17,951, Great Price, 39,665 miles, 
Used 2022 Hyundai, IONIQ 5 SE AWD, $23,499, Excellent Price, 39,932 miles, 
Used 2022 Hyundai, Tucson Limited AWD, $27,260, Great Price, 19,841 miles, 
Used 2022 Hyundai, Santa Fe Calligraphy AWD, $25,490, Excellent Price, 40,850 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $22,823, Great Price, 39,064 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $16,499, Excellent Price, 67,579 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $22,595, Great Price, 30,218 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $21,999, Excellent Price, 20,503 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $22,500, Great Price, 40,804 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $16,960, Great Price, 127,307 miles, 
Used 2022 Hyundai, Sonata N Line, $27,998, Great Price, 18,901 miles, 
Used 2022 Hyundai, Sonata SEL, $21,998, Fair Price, 33,761 miles, 
Used 2022 Hyundai, Tucson 2022.5 SE AWD, $21,444, Great Price, 23,333 miles, 
Used 2022 Hyundai, Santa Fe Plug-In Hybrid SEL Convenience AWD, $26,346, Excellent Price, 33,033 miles, 
Used 2022 Hyundai, Elantra SEL IVT (SULEV), $19,998, Great Price, 38,914 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $22,750, Fair Price, 38,876 miles, 
Used 2022 Hyundai, Elantra SEL IVT (SULEV), $19,998, Great Price, 31,663 miles, 
Used 2022 Hyundai, Elantra SEL IVT (SULEV), $20,998, Fair Price, 24,247 miles, 
Used 2022 Hyundai, IONIQ 5 SE AWD, $17,499, Great Price, 38,813 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $24,999, Great Price, 25,384 miles, 
Used 2022 Hyundai, Santa Fe XRT AWD, $24,003, Great Price, 29,889 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $20,153, Excellent Price, 32,078 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $19,879, Great Price, 32,327 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $23,156, Great Price, 46,169 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $23,549, Great Price, 33,618 miles, 
Used 2022 Hyundai, Kona SEL AWD Automatic, $20,754, Great Price, 25,120 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $22,750, Fair Price, 38,876 miles, 
Used 2022 Hyundai, Sonata N Line, $27,998, Great Price, 18,901 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $21,495, Great Price, 50,953 miles, 
Used 2022 Hyundai, Sonata SEL, $22,998, Great Price, 21,091 miles, 
Used 2022 Hyundai, Sonata SEL, $21,602, Great Price, 18,479 miles, 
Used 2022 Hyundai, Elantra SEL IVT (SULEV), $19,998, Great Price, 33,227 miles, 
Used 2022 Hyundai, Tucson Hybrid SEL Convenience AWD, $22,700, Great Price, 58,520 miles, 
Used 2022 Hyundai, Sonata SEL, $21,998, Fair Price, 33,761 miles, 
Used 2022 Hyundai, Elantra SEL IVT (SULEV), $19,998, Great Price, 31,851 miles, 
Used 2022 Hyundai, Sonata N Line, $25,495, Excellent Price, 17,016 miles, 
Used 2022 Hyundai, Santa Cruz Limited AWD, $26,247, Excellent Price, 29,130 miles, 
Used 2022 Hyundai, Kona SE AWD Automatic, $10,499, Excellent Price, 110,941 miles, 
Used 2022 Hyundai, Tucson Limited AWD, $25,390, Great Price, 25,807 miles, 
Used 2022 Hyundai, Tucson 2022.5 SE AWD, $21,598, Great Price, 38,284 miles, 
Used 2022 Hyundai, Santa Fe Calligraphy AWD, $32,543, Great Price, 10,125 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $22,990, Fair Price, 17,788 miles, 
Used 2022 Hyundai, Santa Fe Limited AWD, $17,995, Excellent Price, 88,676 miles, 
Used 2022 Hyundai, IONIQ 5 SE AWD, $17,499, Great Price, 38,813 miles, 
Used 2022 Hyundai, Palisade SEL AWD, $32,379, Great Price, 27,047 miles, 
Used 2022 Hyundai, Elantra SEL IVT (SULEV), $19,998, Great Price, 30,293 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $24,995, Fair Price, 16,009 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $24,994, Great Price, 26,640 miles, 
Used 2022 Hyundai, Elantra SEL IVT (SULEV), $20,998, Fair Price, 24,247 miles, 
Used 2022 Hyundai, Santa Fe SE AWD, $21,995, Great Price, 36,563 miles, 
Used 2022 Hyundai, Sonata SEL Plus, $24,342, Great Price, 10,860 miles, 
Used 2022 Hyundai, Tucson Limited AWD, $25,995, Great Price, 41,305 miles, 
Used 2022 Hyundai, Palisade SEL AWD, $32,513, Great Price, 36,986 miles, 
Used 2022 Hyundai, Tucson Limited AWD, $22,649, Excellent Price, 33,638 miles, 
Used 2022 Hyundai, Palisade SEL FWD, $26,990, Great Price, 47,753 miles, 
Used 2022 Hyundai, Tucson Hybrid SEL Convenience AWD, $21,095, Excellent Price, 55,327 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $23,995, Great Price, 26,422 miles, 
Used 2022 Hyundai, Sonata SEL, $19,317, Great Price, 30,273 miles, 
Used 2022 Hyundai, Santa Fe Plug-In Hybrid SEL Convenience AWD, $28,998, Great Price, 27,215 miles, 
Used 2022 Hyundai, Venue SE IVT, $16,390, Excellent Price, 19,712 miles, 
Used 2022 Hyundai, Sonata SE, $20,250, Fair Price, 11,375 miles, 
Used 2022 Hyundai, Santa Fe Limited AWD, $24,490, Excellent Price, 32,348 miles, 
Used 2022 Hyundai, Sonata SEL, $19,311, Great Price, 30,390 miles, 
Used 2022 Hyundai, Elantra Hybrid Blue DCT, $15,990, Great Price, 94,926 miles, 
Used 2022 Hyundai, Tucson Hybrid SEL Convenience AWD, $21,095, Excellent Price, 55,327 miles, 
Used 2022 Hyundai, Tucson SEL FWD, $20,995, Great Price, 41,711 miles, 
Used 2022 Hyundai, Tucson Limited AWD, $28,542, Fair Price, 12,922 miles, 
Used 2022 Hyundai, Santa Fe SE AWD, $21,098, Fair Price, 41,477 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $20,153, Excellent Price, 32,078 miles, 
Used 2022 Hyundai, Tucson SEL FWD, $15,990, Excellent Price, 57,464 miles, 
Used 2022 Hyundai, Santa Fe Calligraphy AWD, $30,842, Fair Price, 31,825 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $19,740, Excellent Price, 30,316 miles, 
Used 2022 Hyundai, Kona SE AWD Automatic, $16,500, Excellent Price, 29,741 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $24,998, Fair Price, 30,698 miles, 
Used 2022 Hyundai, Santa Fe SEL FWD, $19,095, Great Price, 55,005 miles, 
Used 2022 Hyundai, Sonata SEL Plus, $25,998, Fair Price, 22,409 miles, 
Used 2022 Hyundai, Kona SEL AWD Automatic, $19,998, Great Price, 49,451 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $18,890, Excellent Price, 48,678 miles, 
Used 2022 Hyundai, Venue SE IVT, $17,481, Great Price, 17,792 miles, 
Used 2022 Hyundai, Tucson Limited AWD, $29,998, Fair Price, 11,525 miles, 
Used 2022 Hyundai, Elantra SEL IVT, $15,400, Excellent Price, 65,814 miles, 
Used 2022 Hyundai, Palisade Calligraphy AWD, $26,479, Excellent Price, 81,850 miles, 
Used 2022 Hyundai, Sonata SEL, $21,876, Fair Price, 25,038 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $23,998, Excellent Price, 19,816 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $25,883, Fair Price, 2,265 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $24,645, Fair Price, 19,556 miles, 
Used 2022 Hyundai, Kona SEL AWD Automatic, $19,998, Great Price, 49,451 miles, 
Used 2022 Hyundai, Santa Cruz Limited AWD, $28,805, Fair Price, 24,387 miles, 
Used 2022 Hyundai, Venue SE IVT, $16,390, Excellent Price, 19,712 miles, 
Used 2022 Hyundai, Sonata SEL, $21,998, High Price, 38,662 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $20,820, Excellent Price, 37,252 miles, 
Used 2022 Hyundai, Tucson Limited AWD, $23,990, Fair Price, 48,787 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $24,495, Fair Price, 29,409 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $19,101, Excellent Price, 55,337 miles, 
Used 2022 Hyundai, Palisade SEL AWD, $26,250, Fair Price, 89,306 miles, 
