Used 2018 INFINITI, QX60 3.5 AWD, $17,267, Excellent Price, 75,441 miles, 
Used 2018 INFINITI, QX60 3.5 AWD, $10,566, Excellent Price, 116,226 miles, 
Used 2018 INFINITI, Q60 3.0t LUXE RWD, $21,000, Excellent Price, 63,338 miles, 
Used 2018 INFINITI, Q50 3.0t LUXE AWD, $12,495, Excellent Price, 119,021 miles, 
Used 2018 INFINITI, QX30 Premium AWD, $17,102, Great Price, 71,199 miles, 
Used 2018 INFINITI, Q50 3.0t LUXE AWD, $25,481, High Price, 38,779 miles, 
Used 2018 INFINITI, Q50 3.0t LUXE AWD, $16,900, Great Price, 62,416 miles, 
Used 2018 INFINITI, Q60 3.0t LUXE RWD, $17,444, Great Price, 64,801 miles, 
Used 2018 INFINITI, Q50 3.0t LUXE AWD, $14,995, Great Price, 104,054 miles, 
Used 2018 INFINITI, Q70L 3.7 LUXE RWD, $18,966, Great Price, 80,454 miles, 
Used 2018 INFINITI, QX60 3.5 AWD, $11,966, Fair Price, 109,601 miles, 
Used 2018 INFINITI, Q60 3.0t LUXE AWD, $18,785, Fair Price, 90,562 miles, 
Used 2018 INFINITI, Q60 RED SPORT 400 AWD, $27,499, High Price, 61,367 miles, 
Used 2018 INFINITI, QX60 3.5 FWD, $15,700, High Price, 77,740 miles, 
