Year/Make, Model, Price, Rating, Mileage
Used 2018 MINI, Clubman S ALL4, 12985, Excellent Price, 101515, 
Used 2018 MINI, Countryman S ALL4, 10990, Great Price, 109999, 
Used 2018 MINI, Countryman ALL4, 10999, Excellent Price, 88934, 
Used 2018 MINI, S Hardtop 2-Door, 19998, Great Price, 37451, 
Used 2018 MINI, Clubman S ALL4, 13985, Excellent Price, 98827, 
Used 2018 MINI, Hardtop 4-Door, 16880, Fair Price, 40978, 
Used 2018 MINI, S Hardtop 4-Door, 21922, High Price, 20381, 
Used 2018 MINI, Clubman S ALL4, 16495, Great Price, 74520, 
Used 2018 MINI, Countryman S ALL4, 17195, High Price, 78843, 
Used 2018 MINI, Countryman S ALL4, 20774, High Price, 53715, 
Used 2018 MINI, Countryman S ALL4, 17985, High Price, 74834, 
Used 2018 MINI, Clubman S ALL4, 17995, High Price, 49910, 
