Used 2022 Kia, Niro EV EX, $17,421, Excellent Price, 38,422 miles, 
Used 2022 Kia, K5 GT-Line AWD, $19,649, Excellent Price, 75,637 miles, 
Used 2022 Kia, Sorento Hybrid EX AWD, $29,399, Excellent Price, 29,106 miles, 
Used 2022 Kia, Seltos SX 1.6T AWD, $20,800, Excellent Price, 50,251 miles, 
Used 2022 Kia, Forte LXS IVT, $17,232, Great Price, 15,606 miles, 
Used 2022 Kia, Soul LX IVT, $18,495, Great Price, 5,445 miles, 
Used 2022 Kia, Telluride EX FWD, $27,550, Excellent Price, 79,502 miles, 
Used 2022 Kia, K5 GT-Line AWD, $22,990, Excellent Price, 50,773 miles, 
Used 2022 Kia, Sportage EX AWD, $20,191, Excellent Price, 42,362 miles, 
Used 2022 Kia, Niro EV EX, $17,421, Excellent Price, 38,422 miles, 
Used 2022 Kia, Sorento X-Line S AWD, $24,270, Great Price, 85,476 miles, 
Used 2022 Kia, K5 GT-Line AWD, $24,998, Great Price, 53,626 miles, 
Used 2022 Kia, K5 GT-Line AWD, $19,649, Excellent Price, 75,637 miles, 
Used 2022 Kia, K5 GT-Line FWD, $23,576, Great Price, 54,959 miles, 
Used 2022 Kia, Forte GT-Line IVT, $19,800, Great Price, 22,143 miles, 
Used 2022 Kia, K5 GT-Line AWD, $21,499, Excellent Price, 45,879 miles, 
Used 2022 Kia, Seltos S 2.0 FWD, $19,114, Fair Price, 29,561 miles, 
Used 2022 Kia, K5 GT-Line AWD, $22,979, Excellent Price, 35,546 miles, 
Used 2022 Kia, K5 LXS FWD, $22,074, Fair Price, 29,141 miles, 
Used 2022 Kia, Telluride EX AWD, $33,990, Great Price, 24,692 miles, 
Used 2022 Kia, Soul LX IVT, $13,890, Great Price, 42,458 miles, 
Used 2022 Kia, Sorento X-Line EX AWD, $29,400, Great Price, 14,589 miles, 
Used 2022 Kia, Niro EV EX, $17,421, Excellent Price, 38,422 miles, 
Used 2022 Kia, K5 GT-Line AWD, $19,649, Excellent Price, 75,637 miles, 
Used 2022 Kia, Sorento Hybrid EX AWD, $29,399, Excellent Price, 29,106 miles, 
Used 2022 Kia, Seltos SX 1.6T AWD, $20,800, Excellent Price, 50,251 miles, 
Used 2022 Kia, Forte LXS IVT, $17,232, Great Price, 15,606 miles, 
Used 2022 Kia, Soul LX IVT, $18,495, Great Price, 5,445 miles, 
Used 2022 Kia, Telluride EX FWD, $27,550, Excellent Price, 79,502 miles, 
Used 2022 Kia, K5 GT-Line AWD, $22,990, Excellent Price, 50,773 miles, 
Used 2022 Kia, Seltos S 2.0 FWD, $19,114, Fair Price, 29,561 miles, 
Used 2022 Kia, K5 GT-Line AWD, $24,998, Great Price, 53,626 miles, 
Used 2022 Kia, Sorento X-Line S AWD, $24,270, Great Price, 85,476 miles, 
Used 2022 Kia, K5 GT-Line FWD, $23,576, Great Price, 54,959 miles, 
Used 2022 Kia, K5 LXS FWD, $22,074, Fair Price, 29,141 miles, 
Used 2022 Kia, Sportage EX AWD, $20,191, Excellent Price, 42,362 miles, 
Used 2022 Kia, Forte GT-Line IVT, $19,800, Great Price, 22,143 miles, 
Used 2022 Kia, Sorento X-Line S AWD, $27,500, High Price, 52,160 miles, 
Used 2022 Kia, Telluride SX AWD, $35,998, Fair Price, 54,576 miles, 
Used 2022 Kia, Niro EV EX, $17,421, Excellent Price, 38,422 miles, 
Used 2022 Kia, K5 GT-Line AWD, $21,126, Excellent Price, 71,211 miles, 
Used 2022 Kia, K5 GT-Line AWD, $19,649, Excellent Price, 75,637 miles, 
Used 2022 Kia, K5 GT-Line AWD, $21,499, Excellent Price, 45,879 miles, 
Used 2022 Kia, K5 GT-Line AWD, $22,979, Excellent Price, 35,546 miles, 
Used 2022 Kia, Niro EV EX, $17,421, Excellent Price, 38,422 miles, 
Used 2022 Kia, K5 GT-Line AWD, $19,649, Excellent Price, 75,637 miles, 
Used 2022 Kia, Sorento Hybrid EX AWD, $29,399, Excellent Price, 29,106 miles, 
Used 2022 Kia, Seltos SX 1.6T AWD, $20,800, Excellent Price, 50,251 miles, 
Used 2022 Kia, Forte LXS IVT, $17,232, Great Price, 15,606 miles, 
Used 2022 Kia, Soul LX IVT, $18,495, Great Price, 5,445 miles, 
Used 2022 Kia, Telluride EX FWD, $27,550, Excellent Price, 79,502 miles, 
Used 2022 Kia, K5 GT-Line AWD, $22,990, Excellent Price, 50,773 miles, 
